biz_type,count
other,415
retail,128
school,60
fast_food,60
restaurant,35
yes,32
church,24
place_of_worship,23
bicycle_rental,23
commercial,18
mobile_phone,17
convenience,17
bakery,14
bank,13
parking,12
bar,12
roof,10
hairdresser,10
cafe,10
supermarket,9
ice_cream,9
fuel,9
fire_station,9
insurance,8
clinic,8
car_repair,8
variety_store,7
manufacturing,7
beauty,7
pharmacy,6
library,6
department_store,6
shoes,5
public,5
post_depot,5
dentist,5
apartments,5
tax_advisor,4
police,4
industrial,4
clothes,4
car_wash,4
car,4
airport_terminal,4
wholesale,3
video_games,3
train_station,3
tobacco,3
pet,3
nutrition_supplements,3
kindergarten,3
hairdresser_supply,3
gift,3
furniture,3
car_parts,3
books,3
warehouse,2
vehicle_inspection,2
tyres,2
townhall,2
social_facility,2
service,2
post_office,2
optician,2
office,2
newsagent,2
laundry,2
jewelry,2
government,2
electronics_repair,2
dry_cleaning,2
doityourself,2
cosmetics,2
community_centre,2
childcare,2
bed,2
water_tower,1
vending_machine,1
transportation,1
toys,1
storage_rental,1
sports,1
social_centre,1
retail_closing,1
residential,1
rental,1
recording_studio,1
railway,1
pub,1
prep_school,1
power_substation,1
perfumery,1
pawnbroker,1
parcel_locker,1
paint,1
packaging_manufacturing,1
moving_company,1
money_transfer,1
marketplace,1
mall,1
locksmith,1
industrial_supply,1
industrial_property,1
industrial_developer,1
import_warehouse,1
houseware,1
hotel,1
hearing_aids,1
hardware,1
grocery,1
fountain,1
food_manufacturing,1
fashion_accessories,1
events_venue,1
estate_agent,1
employment_agency,1
electronics,1
dressmaker,1
doctors,1
craft,1
confectionery,1
company,1
cold_storage_warehouse,1
cold_storage_logistics,1
coffee,1
chocolate,1
chemist,1
charging_station,1
car_rental,1
cannabis,1
bag,1
atm,1
alcohol,1
