biz_type,count
other,289
retail,117
school,39
yes,30
fast_food,30
church,24
bicycle_rental,23
restaurant,21
commercial,17
mobile_phone,15
bakery,13
parking,12
roof,10
bar,9
convenience,8
manufacturing,7
insurance,6
cafe,6
variety_store,5
public,5
pharmacy,5
hairdresser,5
beauty,5
apartments,5
tax_advisor,4
supermarket,4
library,4
industrial,4
ice_cream,4
fire_station,4
dentist,4
car_repair,4
airport_terminal,4
place_of_worship,3
hairdresser_supply,3
department_store,3
clothes,3
clinic,3
car_parts,3
video_games,2
train_station,2
social_facility,2
shoes,2
service,2
police,2
newsagent,2
kindergarten,2
gift,2
cosmetics,2
childcare,2
books,2
bank,2
warehouse,1
vending_machine,1
vehicle_inspection,1
tyres,1
transportation,1
toys,1
tobacco,1
storage_rental,1
residential,1
rental,1
recording_studio,1
power_substation,1
post_office,1
pet,1
perfumery,1
pawnbroker,1
packaging_manufacturing,1
optician,1
office,1
nutrition_supplements,1
moving_company,1
money_transfer,1
marketplace,1
locksmith,1
laundry,1
jewelry,1
industrial_supply,1
industrial_property,1
import_warehouse,1
grocery,1
government,1
furniture,1
fountain,1
food_manufacturing,1
fashion_accessories,1
events_venue,1
estate_agent,1
employment_agency,1
electronics_repair,1
dressmaker,1
craft,1
confectionery,1
community_centre,1
cold_storage_warehouse,1
coffee,1
charging_station,1
car_wash,1
cannabis,1
bed,1
bag,1
atm,1
