name,address,lat,lon,biz_type,description,neighborhood,zip,source,website,phone,notes,created_at
15,,,,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
22L Pad,,,,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
"315, 379, 383, 384 & 385",,,,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
31R,,41.7805746,-87.7456039,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
3700 S Kedzie,,41.8258781,-87.7044909,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
3741 S Pulaski,,41.8249284,-87.7239553,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
3742 S Pulaski,,41.8248125,-87.7242264,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
386 & 390,,,,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
38th Street & Homan,,41.8243947,-87.7099648,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47,,,,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47 EB,,,,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47 WB,,,,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th & Pulaski Currency Exchange,4700 South Pulaski Road,,,retail,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Albany,,41.8080908,-87.7017037,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Archer,,41.8080703,-87.7147274,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Cicero,,41.8076769,-87.7442499,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Francisco,,41.8081733,-87.6967974,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Hamlin,,41.8080099,-87.7185362,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Homan,,41.807981,-87.7087863,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Karlov,,41.8077801,-87.7261719,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Kedzie,,41.8081959,-87.7043287,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Keeler,,41.8078929,-87.7283445,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Kilbourn,,41.8078099,-87.7353216,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Kildare,,41.8077842,-87.7314962,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Kilpatrick,,41.807736,-87.7405834,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Knox,,41.807739,-87.739322,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Kolmar,,41.8076191,-87.737195,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Kostner,,41.80769,-87.7335186,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Lawndale,,41.807898,-87.716367,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Pulaski,,41.807807,-87.7231584,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Sacramento,,41.8082826,-87.6989152,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Spaulding,,41.8081118,-87.7062383,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & Springfield,,41.8079759,-87.7209871,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
47th Street & St. Louis,,41.8079554,-87.711494,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
5 Estrellas Restaurant,2908 West 59th Street,41.7864823,-87.6964788,restaurant,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
5000 S Kedzie,,41.8026179,-87.7037185,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
51,,,,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
51st Avenue Station,,,,retail,,Burbank,60459,osm,,,,2026-05-02 01:12:48
51st Street & Albany,,41.8009408,-87.7011732,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
51st Street & California,,41.8009894,-87.694142,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
51st Street & Francisco,,41.801025,-87.6960286,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
51st Street & Kedzie,,41.8009036,-87.7035485,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
51st Street & Sacramento,,41.8009631,-87.6986778,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
52 NB,,,,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
52 SB & 52A,,,,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
5200 S Pulaski,,41.7984096,-87.7231187,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
53 NB,,,,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
53 SB,,,,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
53A,,,,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
"54B, 55A, 55N, 62H & N62",,,,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
55,,,,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
55th & Pulaski Currency Exchange,5501 South Pulaski Road,,,retail,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
55th Street & Albany,,41.7936346,-87.7015424,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
55th Street & Central Park,,41.7934486,-87.7129526,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
55th Street & Cicero,,41.7929325,-87.7428409,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
55th Street & Francisco,,41.7935825,-87.6959393,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
55th Street & Hamlin,,41.7931947,-87.7179844,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
55th Street & Homan,,41.7935225,-87.7086986,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
55th Street & Karlov,,41.7931096,-87.7252519,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
55th Street & Kedzie,,41.793585,-87.7039391,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
55th Street & Keeler,,41.7930802,-87.727759,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
55th Street & Kenneth,,41.7930437,-87.7343447,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
55th Street & Kilbourn,,41.7931772,-87.7351785,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
55th Street & Kildare,,41.7932166,-87.7307946,other,,Archer Heights,60632,osm,,,,2026-04-30 04:12:41
