id,name,address,lat,lon,biz_type,description,neighborhood,zip,source,hiring_notes,notes,website,phone,created_at
1,Midway,,41.7872183,-87.7379419,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
2,31R,,41.7805746,-87.7456039,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
3,63rd Street & Cicero,,41.7783413,-87.7417834,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
4,6220 S Cicero,,41.7801648,-87.7421785,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
5,63rd Street & Lamon,,41.7782951,-87.7444122,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
6,Fuel Bar,,41.7841266,-87.741949,cafe,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
7,iStore,,41.7873586,-87.7449603,gift,,Archer Heights,60632,osm,,,https://www.midwaypartnership.com/businesses/istore-b17/,,2026-04-30 04:12:41
8,Southside News,,41.7852906,-87.7432316,newsagent,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
9,Big & Little’s,,41.7871976,-87.7447495,fast_food,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
10,Hudson,,41.7864176,-87.7419387,convenience,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
11,Porkchop,,41.7872572,-87.7446799,fast_food,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
12,Xtreme Mobile,4702 West 63rd Street,41.778847,-87.7404899,mobile_phone,,Archer Heights,60632,osm,,,http://cellphonerepairsinchicagoil.com,+1-773-581-8111,2026-04-30 04:12:41
13,63rd Street & Kostner,,41.7786254,-87.7329402,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
14,63rd Street & Kilpatrick,,41.7785469,-87.739713,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
15,63rd Street & Knox,,41.7785505,-87.7384917,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
16,63rd Street & Kilbourn,,41.7784589,-87.7347053,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
17,59th Street & Kostner,,41.785773,-87.7328975,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
18,59th Street & Kilbourn,,41.7857465,-87.7353484,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
19,Mr C’s Midway Bar,4654 West 63rd Street,41.7786634,-87.739553,bar,,Archer Heights,60632,osm,,,,+1-773-582-0833,2026-04-30 04:12:41
20,Nuts on Clark,,41.7856696,-87.7422679,fast_food,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
21,Woodgrain,,41.7859108,-87.7422147,fast_food,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
22,Big Shoulders Coffee,,41.7849903,-87.7432557,cafe,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
23,Arami,,41.7857875,-87.7421099,fast_food,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
24,Reilly's Daughter,,41.7857298,-87.7423605,restaurant,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
25,Billy Goat Tavern,,41.7859687,-87.742136,fast_food,,Archer Heights,60632,osm,,,https://www.billygoattavern.com/locations/midway/,,2026-04-30 04:12:41
26,Ink,,41.7855064,-87.7425632,books,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
27,Midway Orange Line Station,,41.7866235,-87.7387117,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
28,E2,,41.7843887,-87.7417085,other,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
29,Harry Carry’s Shortstop,,41.7854343,-87.7428534,bar,,Archer Heights,60632,osm,,,,,2026-04-30 04:12:41
30,Subway,6400 South Cicero Avenue,41.7762999,-87.7427434,fast_food,,Archer Heights,60632,osm,,,https://restaurants.subway.com/united-states/il/chicago/6400-s-cicero,+1 773-498-4050,2026-04-30 04:12:41
